Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	f07b9b9d-1805-44bf-8c29-42455a005aa9	1023	1023	1018	Geometry	9658.8	3096.4	1023	0	1018	0	0	0	NaN	0	9098.2	512.45
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	36d7cc9a-d8b2-49ae-8771-2db4260c3ddd	254	254	315	Geometry	5183.7	872.95	254	0	315	0	0	0	NaN	0	1451677.3	7956.8
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	82621d58-41d4-4c1f-aab3-c6403ebc23d1	879	879	254	Geometry	5007.7	912.12	879	0	254	0	0	0	NaN	0	904534.7	7416.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	93ae24a5-474b-4a25-9613-ec0140c293a9	610	610	879	Geometry	4908.3	966.09	610	0	879	0	0	0	NaN	0	247618.1	4280.3
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	9ed2bdbe-cfca-43e3-b7e4-fb3d0276e7d3	274	274	879	Geometry	4992	1147.2	274	0	879	0	0	0	NaN	0	216501.2	3105.8
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	98f3eb2a-5845-43ba-91c5-becb1fadde82	330	330	879	Geometry	6829.8	1381.9	330	0	879	0	0	0	NaN	0	2486.4	226.32
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	74dfb7e6-49fe-4880-ad07-7e46676c89fd	434	434	879	Geometry	5095.3	809.7	434	0	879	0	0	0	NaN	0	188083.8	4329.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	366de359-1c43-4d54-b416-baa9e38d8e13	442	442	879	Geometry	5035.9	727.36	442	0	879	0	0	0	NaN	0	249845.1	5268
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	544e1d0f-e32a-430b-822c-f130bf89b87f	886	886	254	Geometry	6397.4	1400.6	886	0	254	0	0	0	NaN	0	137925.1	2715.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	472d9edd-d113-4e38-808c-b68c48a1b2f1	542	542	886	Geometry	6133.3	1385.1	542	0	886	0	0	0	NaN	0	51867.5	2025
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	a4b005ee-868c-44c0-bbd2-f58d793af5fe	590	590	886	Geometry	6835.1	1449.9	590	0	886	0	0	0	NaN	0	9651.1	566.08
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	13fed9f5-1b57-477d-9c72-7df28158e0f7	687	687	886	Geometry	6671.6	1417.8	687	0	886	0	0	0	NaN	0	43988	1402.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	8dda014c-f1ec-469a-989e-879fb52eb3f0	430	430	886	Geometry	6317.4	1387.2	430	0	886	0	0	0	NaN	0	32418.5	1516.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	9c775757-4b68-44b8-873a-dfc60772261a	894	894	254	Geometry	5163.5	608.55	894	0	254	0	0	0	NaN	0	409217.5	6629.8
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	82c27343-4f24-4f24-bb1a-b63e245b34a5	671	671	894	Geometry	5204.5	361.79	671	0	894	0	0	0	NaN	0	86819.2	2148.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	71964d18-5611-4e9f-a091-5c721e1e70eb	774	774	894	Geometry	5293	714.09	774	0	894	0	0	0	NaN	0	115459.5	2457.2
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	74dce7c9-2d04-47fa-95c1-54bb456d03e2	279	279	894	Geometry	4056	1326.6	279	0	894	0	0	0	NaN	0	2173.3	262.79
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	98107dc1-9be2-4e29-8ac4-32435f93781e	906	906	894	Geometry	4767.3	1049.6	906	0	894	0	0	0	NaN	0	55281.4	2656.8
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	ce913a54-3b24-49b5-bc00-ec57539a6ed3	965	965	894	Geometry	5202.2	496.82	965	0	894	0	0	0	NaN	0	149484	2464.9
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	7ae9ce34-6c75-4e59-8209-43fb1920729b	895	895	315	Geometry	4801.4	3727.2	895	0	315	0	0	0	NaN	0	598288.9	5784.8
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	ba58660d-cc33-4c38-a84f-1456dd99605e	1045	1045	895	Geometry	4817.1	3722.8	1045	0	895	0	0	0	NaN	0	27708.2	1776.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	a8bcc6c9-4fe4-4381-afb8-1b1df83fd584	836	836	895	Geometry	4505.3	3791.4	836	0	895	0	0	0	NaN	0	102729.6	2191.9
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	bf9b9029-e259-4791-a110-b1491a07029b	427	427	895	Geometry	4994.4	3736.8	427	0	895	0	0	0	NaN	0	178099.6	2812.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	16387942-2ea8-46f2-9694-330e0b72a1e5	977	977	895	Geometry	4985.1	3713.1	977	0	895	0	0	0	NaN	0	115816.6	2556.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	c5ca98f6-f810-4e42-9f8b-171d9c4be0e9	988	988	895	Geometry	4653.8	3689.5	988	0	895	0	0	0	NaN	0	173934.8	2723.7
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	17eaf519-121f-4d72-bee1-198d3e33f638	922	922	315	Geometry	4822.3	4076.5	922	0	315	0	0	0	NaN	0	418174.8	4994.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	c5ffcfda-64b4-47d8-a16a-ad083a0f368c	540	540	922	Geometry	5918.8	4186.1	540	0	922	0	0	0	NaN	0	83864.5	1962.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	536bdb35-be08-4ca5-b2c0-b5779fe2fc46	692	692	922	Geometry	4277.1	4015.1	692	0	922	0	0	0	NaN	0	107777.2	2102
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	9744bf6c-6f6f-4df7-b765-86ff529b4709	335	335	922	Geometry	3828.6	4002.5	335	0	922	0	0	0	NaN	0	60064.2	1859.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	0d2cc9a8-8efc-49e3-9d72-f29ad100594b	368	368	922	Geometry	3470.9	3990	368	0	922	0	0	0	NaN	0	18785	1267.5
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	639c71dd-7d5c-466c-b03e-64615bdf3920	888	888	922	Geometry	5173.6	4100.3	888	0	922	0	0	0	NaN	0	147683.9	2602.7
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	fc6826c1-1a97-4ef1-9a84-78143d3e715c	703	703	688	Geometry	6059.3	5991.6	703	0	688	0	0	0	NaN	0	559763.1	6993
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	0cf1b5a5-e234-41d4-956c-6fbf71882f47	780	780	703	Geometry	5382.6	6126.2	780	0	703	0	0	0	NaN	0	394678.7	4640.4
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	e67614b2-df82-4ee0-9249-a2b19aba024c	295	295	703	Geometry	8184.4	5786.3	295	0	703	0	0	0	NaN	0	54508	1040.1
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	e085f2f4-6900-4af7-ab2b-fc9f6a728e22	311	311	295	Geometry	8184.4	5786.3	311	0	295	0	0	0	NaN	0	54508	1040.1
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	e8c119f9-5233-4d3d-b04e-51756dfabcf9	942	942	703	Geometry	7817.8	5578.6	942	0	703	0	0	0	NaN	0	82861.5	1468.9
